"Name","Category","RecommendedAction","Rationale","Bytes"
"cryer_c3b_geometry_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2733"
"cryer_c3b_loading_strategy.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2872"
"cryer_c4_implementation_decision.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","37163"
"cryer_c4a_reference_solution_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4019"
"cryer_c4b_loading_decision_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3611"
"cryer_c4b_spherical_traction_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6709"
"cryer_c4b_traction_discretization_notes.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3826"
"cryer_c4b2_flexible_confining_stress_diagnostics.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2664"
"cryer_c4b2_flexible_confining_stress_formulation.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3595"
"cryer_c4b2_flexible_confining_stress_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4499"
"cryer_c4b2_flexible_confining_stress_xml_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2889"
"cryer_c4b2_traction_route_decision.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3139"
"cryer_c4b3_flexible_confining_stress_implementation_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3345"
"cryer_c4b3_flexible_confining_stress_implementation_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6072"
"cryer_c4b4_free_sphere_traction_smoke_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6129"
"cryer_c4c_drained_boundary_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5240"
"cryer_c4c_drained_curved_boundary_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4698"
"cryer_c4d_hydraulic_no_elevation_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3378"
"cryer_c4d_hydraulic_scaling_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2670"
"cryer_c5_strict_sphere_coarse_smoke_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4535"
"cryer_c5b_strict_sphere_refinement_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6443"
"cryer_c5c_curved_boundary_coupling_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4281"
"cryer_c5c_curved_boundary_coupling_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5188"
"cryer_c5d_boundary_quadrature_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4125"
"cryer_c5d_boundary_quadrature_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4430"
"cryer_c5e_boundary_particle_drained_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6363"
"cryer_c5e_boundary_particle_hydraulic_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4652"
"cryer_c5f_boundary_particle_weighting_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3806"
"cryer_c5f_boundary_particle_weighting_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5229"
"cryer_c5g_geometry_dp_diagnostic_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6632"
"cryer_c5h_higher_resolution_sphere_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6572"
"cryer_c5i_flux_consistent_boundary_recommendation.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5304"
"cryer_c5i_spherical_diffusion_flux_calibration_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6518"
"cryer_c5j_mls_boundary_flux_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5820"
"cryer_c5j_mls_boundary_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5540"
"cryer_c5k_radial_shell_flux_boundary_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6215"
"cryer_c5k_radial_shell_flux_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5445"
"cryer_c5l_radial_operator_audit_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5185"
"cryer_c5m_conservative_shell_exchange_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3147"
"cryer_c5m_conservative_shell_exchange_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3744"
"cryer_c5m_next_boundary_operator_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3585"
"cryer_c5n_corrected_laplacian_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4044"
"cryer_c5n_corrected_laplacian_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5312"
"cryer_c5o_corrected_laplacian_stabilization_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4908"
"cryer_c5o_corrected_laplacian_stabilization_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5701"
"cryer_c5p_strict_route_synthesis_and_defer_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","10847"
"cryer_c5q_active_usage_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5381"
"cryer_c5q_cleanup_execution_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2930"
"cryer_c5q_cleanup_recommendation.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4289"
"cryer_c5q_interface_inventory.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","13344"
"current_pre_gpu_work_status.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4363"
"e1_constitutive_switch_audit.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","2020"
"e1_linear_elastic_skeleton_switch_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3610"
"effective_stress_initialization_plan.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4725"
"experimental_interface_cleanup_policy.md","KEEP_FINAL","Keep","Final package, registry, decision, or parameter documentation","4968"
"experimental_interface_registry.md","KEEP_FINAL","Keep","Final package, registry, decision, or parameter documentation","15704"
"final_cpu_before_gpu_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","6782"
"final_cpu_strict_smoke_completion_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","7392"
"final_pre_gpu_readiness_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","6689"
"full_cpu_case_completion_plan.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5297"
"full_cpu_case_completion_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5366"
"full_cpu_implementation_backlog.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","15425"
"full_paper_case_audit.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","18752"
"gpu_g1_porepress_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3346"
"gpu_g2_pr_diagnostics_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5209"
"gpu_g3_porepress_update_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4589"
"gpu_g4_pressure_only_parity_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4153"
"gpu_g5_feedback_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4467"
"gpu_g6_stabilization_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3477"
"gpu_g7_selfweight_parity_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3682"
"gpu_g8_selfweight_medium_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3788"
"gpu_g9_g9b_analytical_comparison_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","7202"
"gpu_g9_selfweight_long_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4393"
"gpu_g9b_selfweight_xi005_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","6541"
"gpu_port_plan.md","KEEP_FINAL","Keep","Final package, registry, decision, or parameter documentation","116613"
"gpu_s1_bodygravity_stop_long_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4004"
"gpu_s1_bodygravity_stop_medium_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3044"
"gpu_s1_bodygravity_stop_short_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4899"
"h1_hydraulic_mdbc_boundary_design.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4447"
"h1_hydraulic_mdbc_boundary_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5870"
"hydraulic_boundary_audit_milestone.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4342"
"l1_external_load_1d_consolidation_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4005"
"l2_external_load_1d_consolidation_setup_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4528"
"l2_external_load_1d_consolidation_validation_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5565"
"l3_1d_consolidation_loading_route_audit_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5418"
"l3_1d_consolidation_loading_route_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3085"
"l3_1d_consolidation_loading_route_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4086"
"l3_1d_consolidation_top_load_literature_audit.md","KEEP_REFERENCE","Keep","Reference/literature material","4687"
"l3b_1d_consolidation_mechanical_top_load_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2110"
"l3b_mechanical_top_load_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2831"
"l3b_mechanical_top_load_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2835"
"l3b_mechanical_top_load_validation_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3092"
"l3c_consistent_initial_state_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2596"
"l3c_consistent_initial_state_validation_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3584"
"l3c_initial_state_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2915"
"l3c_terzaghi_initial_condition_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3619"
"l3d_future_mechanical_loading_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2904"
"l3e_1d_consolidation_loading_route_classification.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2879"
"l3e_1d_consolidation_validation_package_report.md","KEEP_FINAL","Keep","Final package, registry, decision, or parameter documentation","4284"
"l4_gpu_longrun_1d_consolidation_validation_report.md","KEEP_FINAL","Keep","Final package, registry, decision, or parameter documentation","5352"
"l4_gpu_longrun_task_prompt.md","ARCHIVE_PROMPT","Archive","Task prompt useful for replay but not active documentation","1964"
"l4_gpu_longrun_value_and_limits.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2898"
"l4_l5_next_step_recommendation.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2908"
"l4_l5_strict_1d_consolidation_reproduction_definition.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3958"
"l5_cpu_mechanical_loading_task_prompt.md","ARCHIVE_PROMPT","Archive","Task prompt useful for replay but not active documentation","2248"
"l5_feedback_on_1d_consolidation_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2645"
"l5_feedback_on_1d_consolidation_formulation_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4199"
"l5_feedback_on_1d_consolidation_gate_report.md","KEEP_FINAL","Keep","Final package, registry, decision, or parameter documentation","5103"
"l5_feedback_on_initial_state_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3182"
"l5_mechanical_loading_feedback_route_assessment.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4550"
"l5b_consistent_stress_initializer_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2476"
"lian_bui_2021_unsaturated_seepage_anisotropic_diffusion_implementation_notes.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5354"
"lian_bui_2023_u_pl_tpi_saturated_porous_media_implementation_notes.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","6463"
"lian_bui_2024_unsaturated_rainfall_slope_failure_implementation_notes.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","6269"
"litb_boundary_method_comparison.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4030"
"litb_drained_undrained_sph_boundary_audit.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4422"
"litb_original_upw_boundary_audit.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5429"
"litb_recommendation_before_next_boundary_change.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5166"
"litb_supporting_materials_boundary_audit.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3888"
"m1_current_stress_update_audit.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5840"
"m1_mcc_implementation_pre_audit.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4562"
"m1_mcc_return_mapping_design.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4010"
"m1_mcc_risk_and_no_go.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3027"
"m1_mcc_single_point_test_plan.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","2954"
"m1_mcc_sph_integration_plan.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","2597"
"m1_mcc_state_variable_design.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3515"
"m1_mcc_theory_and_sign_convention.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4398"
"m1_mcc_xml_parameter_design.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","3202"
"m2_mcc_single_point_prototype_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5853"
"m3_mcc_cpu_integration_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4215"
"m3a_cpp_mcc_helper_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2789"
"m3a_mcc_cpp_helper_parity_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3634"
"m3a_python_mcc_mapping_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4028"
"m3b_mcc_parser_state_init_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3508"
"m3b_mcc_parser_state_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4113"
"m3b_mcc_sph_integration_preplan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2930"
"m3c_mcc_cpu_stress_update_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3661"
"m3c_mcc_cpu_stress_update_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4030"
"m3c_mcc_stress_update_source_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3621"
"m3d_mcc_feedback_off_refinement_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3107"
"m3d_mcc_feedback_off_refinement_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6209"
"m3d2_mcc_return_failure_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4597"
"m3d2_mcc_return_robustness_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3302"
"m3d2_mcc_return_robustness_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3796"
"m3d3_mcc_substepping_patch_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2716"
"m3d3_mcc_substepping_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","7418"
"m3e_mcc_feedback_off_reporting_package.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5138"
"m3f_mcc_return_staging_refinement_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3793"
"m3f_mcc_return_staging_refinement_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6368"
"m3f_return_failure_cause_analysis.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4300"
"m3f_return_staging_refinement_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3910"
"m3f_transient_return_failure_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5406"
"m3h_admissible_newton_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4757"
"m3h_mcc_admissible_return_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","7027"
"m3h_mcc_failed_return_state_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5707"
"m3i_mcc_caveated_reduced_reporting_report.md","KEEP_FINAL","Keep","Final package, registry, decision, or parameter documentation","6225"
"m3j_boundary_first_fix_recommendation.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3652"
"m3j_boundary_induced_return_failure_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5938"
"m3j_boundary_return_failure_localization_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3914"
"m3j_local_strain_path_failure_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4129"
"m3j_platen_geometry_and_edge_design_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3930"
"m3j_platen_interaction_failure_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3340"
"m3k_platen_edge_dense_diagnostic_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","7498"
"m3l_boundary_smoothing_next_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4119"
"m3l_platen_specimen_smoothing_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","4504"
"m3l_platen_specimen_smoothing_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6436"
"m3m_mcc_boundary_geometry_refinement_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3571"
"m3m_refined_platen_edge_geometry_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3478"
"m3m_refined_platen_edge_geometry_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","6175"
"m3n_clean_geometry_extended_check_plan.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2847"
"m3n_current_geometry_limitation_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3909"
"m3n_smooth_layout_diagnostic_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","5408"
"m3n_smooth_layout_feasibility_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3121"
"m3n_smooth_specimen_layout_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","2803"
"m3o_custom_particle_input_feasibility_audit.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3092"
"m3o_fan_like_layout_design.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3370"
"m3o_smooth_fan_layout_prototype_report.md","ARCHIVE_DEV_RECORD","Archive unless referenced by final package","Development-stage report/audit/plan","3707"
"m4_mcc_drained_undrained_comparison_planning_stub.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","2588"
"m4_mcc_future_work_after_caveated_package.md","KEEP_FINAL","Keep","Final package, registry, decision, or parameter documentation","2884"
"morikawa_asai_2022_uwp_isph_implementation_notes.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","6466"
"next_benchmark_after_cryer_defer_plan.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","2664"
"o1_hydraulic_operator_consistency_audit_report.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","10846"
"o1_hydraulic_operator_source_audit.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","6716"
"paper_scenario1_bodygravity_stop_note.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","5039"
"paper_selfweight_scenario2_calibrated_reference_note.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","4396"
"pore_pressure_boundary_ghost_plan.md","ARCHIVE","Archive for reference","Intermediate development record or superseded task artifact","17517"
